"Player","Minutes","Apps","Starts","Subbed_On","Subbed.off","Goals","Yellows","Second_Yellows","Reds","Club","Season"
"Zat Knight",1982,25,21,4,0,0,1,0,0,"bolton-wanderers",2011
"Darren Pratley",1273,25,14,11,7,1,4,0,0,"bolton-wanderers",2011
"David Wheater",2010,24,24,0,1,2,1,0,2,"bolton-wanderers",2011
"Gretar Steinsson",1883,23,20,3,1,1,6,0,0,"bolton-wanderers",2011
"Adam Bogdan",1800,20,20,0,0,0,0,0,0,"bolton-wanderers",2011
"Fabrice Muamba",1329,20,18,2,9,1,2,0,0,"bolton-wanderers",2011
"Sam Ricketts",1800,20,20,0,0,1,3,0,0,"bolton-wanderers",2011
"Gary Cahill",1638,19,19,0,0,2,2,0,1,"bolton-wanderers",2011
"Jussi Jaaskelainen",1620,18,18,0,0,0,1,0,0,"bolton-wanderers",2011
"Paul Robinson",1420,17,15,2,0,0,4,0,0,"bolton-wanderers",2011
"Tuncay Sanli",384,16,3,13,3,0,0,0,0,"bolton-wanderers",2011
"Dedryck Boyata",1123,14,13,1,2,1,3,0,0,"bolton-wanderers",2011
"Tim Ream",1170,13,13,0,0,0,1,0,0,"bolton-wanderers",2011
"Ryo Miyaichi",683,12,8,4,4,0,0,0,0,"bolton-wanderers",2011
"Marcos Alonso",332,5,4,1,1,1,0,0,0,"bolton-wanderers",2011
"Ricardo Gardner",162,4,2,2,1,0,0,1,0,"bolton-wanderers",2011
"Gael Kakuta",68,4,0,4,0,0,0,0,0,"bolton-wanderers",2011
"Joe Riley",200,3,2,1,1,0,0,0,0,"bolton-wanderers",2011
"Marvin Sordell",40,3,0,3,0,0,0,0,0,"bolton-wanderers",2011
"Josh Vela",38,3,0,3,0,0,1,0,0,"bolton-wanderers",2011
"Chung-yong Lee",17,2,0,2,0,0,0,0,0,"bolton-wanderers",2011
"Robbie Blake",4,1,0,1,0,0,0,0,0,"bolton-wanderers",2011
"Tyrone Mears",90,1,1,0,0,0,0,0,0,"bolton-wanderers",2011
"Adam Blakeman",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2011
"Rob Lainton",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2011
"Jay Lynch",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2011
"Michael OHalloran",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2011
"Rhys Bennett",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2011
"Sean Davis",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2011
"Tom Eaves",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2011
"Stuart Holden",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2011
"Gregg Wylde",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2011
"Jussi Jaaskelainen",3420,38,38,0,0,0,3,0,0,"bolton-wanderers",2009
"Kevin Davies",3316,37,37,0,1,7,9,0,0,"bolton-wanderers",2009
"Matthew Taylor",2581,37,29,8,8,8,2,0,0,"bolton-wanderers",2009
"Fabrice Muamba",2948,36,35,1,12,1,11,0,0,"bolton-wanderers",2009
"Zat Knight",3150,35,35,0,0,1,1,0,0,"bolton-wanderers",2009
"Chung-yong Lee",2409,34,27,7,13,4,4,0,0,"bolton-wanderers",2009
"Gary Cahill",2610,29,29,0,0,5,3,0,0,"bolton-wanderers",2009
"Tamir Cohen",2101,27,26,1,11,3,6,1,0,"bolton-wanderers",2009
"Ivan Klasnic",1208,27,12,15,10,8,4,0,0,"bolton-wanderers",2009
"Sam Ricketts",2168,27,25,2,3,0,1,1,0,"bolton-wanderers",2009
"Gretar Steinsson",2218,27,25,2,1,0,4,0,1,"bolton-wanderers",2009
"Johan Elmander",1360,25,15,10,11,3,2,0,0,"bolton-wanderers",2009
"Paul Robinson",2192,25,24,1,2,0,7,0,0,"bolton-wanderers",2009
"Ricardo Gardner",1105,21,11,10,5,1,1,0,0,"bolton-wanderers",2009
"Mark Davies",549,17,5,12,4,0,1,0,0,"bolton-wanderers",2009
"Jack Wilshere",1091,14,13,1,8,1,3,0,0,"bolton-wanderers",2009
"Jlloyd Samuel",1028,13,12,1,1,0,4,0,1,"bolton-wanderers",2009
"Vladimir Weiss",386,13,3,10,3,0,0,0,0,"bolton-wanderers",2009
"Gavin McCann",532,11,5,6,2,0,4,0,0,"bolton-wanderers",2009
"Chris Basham",237,8,2,6,1,0,0,0,0,"bolton-wanderers",2009
"Andy O Brien",513,6,6,0,1,0,0,0,0,"bolton-wanderers",2009
"Sean Davis",234,3,3,0,0,0,2,1,0,"bolton-wanderers",2009
"Stuart Holden",115,2,1,1,0,0,0,0,0,"bolton-wanderers",2009
"Danny Ward",16,2,0,2,0,0,0,0,0,"bolton-wanderers",2009
"Riga Mustapha",1,1,0,1,0,0,0,0,0,"bolton-wanderers",2009
"Ali Al Habsi",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2009
"Rhys Bennett",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2009
"Adam Bogdan",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2009
"Zoltan Harsanyi",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2009
"Aaron Mooy",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2009
"Joey O Brien",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2009
"Ricardo Vaz Te",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2009
"Danny Shittu",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2009
"Kevin Davies",3375,38,37,1,0,11,4,0,0,"bolton-wanderers",2008
"Jussi Jaaskelainen",3420,38,38,0,0,0,3,0,0,"bolton-wanderers",2008
"Fabrice Muamba",2840,38,33,5,11,0,5,0,0,"bolton-wanderers",2008
"Jlloyd Samuel",3325,38,38,0,4,0,3,0,0,"bolton-wanderers",2008
"Gretar Steinsson",3280,37,37,0,3,3,7,0,0,"bolton-wanderers",2008
"Andy O Brien",2768,34,30,4,1,1,4,0,0,"bolton-wanderers",2008
"Matthew Taylor",2845,34,33,1,8,10,3,0,0,"bolton-wanderers",2008
"Gary Cahill",2970,33,33,0,0,3,1,0,0,"bolton-wanderers",2008
"Gavin McCann",2738,33,30,3,2,0,8,1,0,"bolton-wanderers",2008
"Johan Elmander",2365,30,30,0,19,5,2,0,0,"bolton-wanderers",2008
"Ricardo Gardner",1850,29,18,11,5,4,1,0,0,"bolton-wanderers",2008
"Kevin Nolan",1774,20,20,0,1,0,8,0,0,"bolton-wanderers",2008
"Riga Mustapha",456,17,2,15,2,0,1,0,0,"bolton-wanderers",2008
"Ebi Smolarek",219,12,1,11,1,0,1,0,0,"bolton-wanderers",2008
"Chris Basham",464,11,4,7,0,1,0,0,0,"bolton-wanderers",2008
"Mark Davies",759,10,8,2,1,0,3,0,0,"bolton-wanderers",2008
"Danny Shittu",790,10,9,1,2,0,1,0,0,"bolton-wanderers",2008
"Joey O Brien",364,7,5,2,3,0,2,0,0,"bolton-wanderers",2008
"Sebastien Puygrenier",380,7,5,2,4,1,1,0,0,"bolton-wanderers",2008
"Ariza Makukula",293,6,4,2,4,0,1,0,0,"bolton-wanderers",2008
"Tamir Cohen",219,4,3,1,3,1,1,0,0,"bolton-wanderers",2008
"Tope Obadeyi",41,3,0,3,0,0,0,0,0,"bolton-wanderers",2008
"Ricardo Vaz Te",32,2,0,2,0,0,0,0,0,"bolton-wanderers",2008
"Hei?ar Helguson",26,1,0,1,0,0,0,0,0,"bolton-wanderers",2008
"Nicky Hunt",0,0,0,0,0,0,1,0,0,"bolton-wanderers",2008
"Ali Al Habsi",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2008
"Adam Bogdan",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2008
"Zoltan Harsanyi",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2008
"James Sinclair",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2008
"El-Hadji Diouf",2644,34,30,4,9,4,11,0,0,"bolton-wanderers",2007
"Kevin Nolan",2774,33,33,0,11,5,10,0,0,"bolton-wanderers",2007
"Kevin Davies",2644,32,31,1,6,4,10,0,0,"bolton-wanderers",2007
"Gavin McCann",1964,31,20,11,3,1,5,0,0,"bolton-wanderers",2007
"Andy O Brien",2642,30,29,1,1,0,5,0,0,"bolton-wanderers",2007
"Jussi Jaaskelainen",2520,28,28,0,0,0,1,0,0,"bolton-wanderers",2007
"Ivan Campo",2063,27,25,2,9,1,8,0,0,"bolton-wanderers",2007
"Ricardo Gardner",2223,26,25,1,1,0,2,0,0,"bolton-wanderers",2007
"Danny Guthrie",1957,25,22,3,9,0,4,0,0,"bolton-wanderers",2007
"Abdoulaye Meite",1802,21,21,0,2,0,1,0,0,"bolton-wanderers",2007
"Joey O Brien",1505,21,17,4,5,0,2,0,0,"bolton-wanderers",2007
"Jlloyd Samuel",1308,20,14,6,3,0,1,0,0,"bolton-wanderers",2007
"Nicolas Anelka",1609,18,18,0,1,10,1,0,0,"bolton-wanderers",2007
"Gretar Steinsson",1392,16,16,0,1,0,2,0,0,"bolton-wanderers",2007
"Matthew Taylor",1371,16,16,0,6,2,1,0,0,"bolton-wanderers",2007
"Stylianos Giannakopoulos",292,15,1,14,0,2,0,0,0,"bolton-wanderers",2007
"Nicky Hunt",1101,14,12,2,5,0,6,0,0,"bolton-wanderers",2007
"Gary Speed",970,14,11,3,4,1,2,0,0,"bolton-wanderers",2007
"Gary Cahill",1149,13,13,0,1,0,0,0,0,"bolton-wanderers",2007
"Ali Al Habsi",900,10,10,0,0,0,0,0,0,"bolton-wanderers",2007
"Tamir Cohen",294,10,3,7,3,1,1,0,0,"bolton-wanderers",2007
"Christian Wilhelmsson",235,8,0,8,0,0,0,0,0,"bolton-wanderers",2007
"Gerald Cid",509,7,6,1,1,0,0,0,0,"bolton-wanderers",2007
"Lubomir Michalik",496,7,5,2,0,0,1,0,0,"bolton-wanderers",2007
"Mikel Alonso",359,7,4,3,2,0,0,0,0,"bolton-wanderers",2007
"Grzegorz Rasiak",281,7,2,5,2,0,1,0,0,"bolton-wanderers",2007
"Daniel Braaten",144,6,0,6,0,1,0,0,0,"bolton-wanderers",2007
"Hei?ar Helguson",271,6,3,3,2,2,1,0,0,"bolton-wanderers",2007
"Andranik Teymourian",78,3,1,2,1,0,0,0,0,"bolton-wanderers",2007
"Abdoulaye Faye",90,1,1,0,0,0,0,0,0,"bolton-wanderers",2007
"Ricardo Vaz Te",46,1,1,0,1,0,0,0,0,"bolton-wanderers",2007
"Adam Bogdan",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2007
"Blerim Dzemaili",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2007
"Jaroslaw Fojut",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2007
"Zoltan Harsanyi",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2007
"Scott Jamieson",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2007
"James Sinclair",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2007
"Robert Sissons",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2007
"Ian Walker",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2007
"Nathan Woolfe",0,0,0,0,0,0,0,0,0,"bolton-wanderers",2007
"Michel Salgado",3032,36,36,0,8,0,10,0,0,"blackburn-rovers",2010
"Paul Robinson",3196,36,36,0,1,0,0,0,0,"blackburn-rovers",2010
"Morten Pedersen",2518,35,27,8,4,4,1,0,0,"blackburn-rovers",2010
"Christopher Samba",2879,33,33,0,2,4,3,0,1,"blackburn-rovers",2010
"Brett Emerton",2192,30,24,6,4,4,4,0,0,"blackburn-rovers",2010
"Gael Givet",2455,29,29,0,6,1,4,0,1,"blackburn-rovers",2010
"Martin Olsson",2371,29,25,4,2,2,3,0,0,"blackburn-rovers",2010
"Ryan Nelsen",2415,28,28,0,2,3,3,1,0,"blackburn-rovers",2010
"David Dunn",1390,27,17,10,11,2,3,0,0,"blackburn-rovers",2010
"Mame Diouf",1607,26,17,9,6,3,2,0,0,"blackburn-rovers",2010
"Phil Jones",2175,26,24,2,2,0,4,0,0,"blackburn-rovers",2010
"Jason Roberts",1490,25,13,12,4,5,2,0,0,"blackburn-rovers",2010
"Junior Hoilett",1499,24,17,7,10,5,2,0,0,"blackburn-rovers",2010
"Steven Nzonzi",1267,21,13,8,3,1,4,0,1,"blackburn-rovers",2010
"El-Hadji Diouf",1566,20,18,2,7,0,4,0,0,"blackburn-rovers",2010
"Benjani",655,18,6,12,7,3,0,0,0,"blackburn-rovers",2010
"Nikola Kalinic",1074,18,15,3,11,5,2,0,1,"blackburn-rovers",2010
"Jermaine Jones",1295,15,15,0,4,0,8,0,0,"blackburn-rovers",2010
"Roque Santa Cruz",541,9,7,2,5,0,0,0,0,"blackburn-rovers",2010
"Grant Hanley",443,7,5,2,1,1,1,0,0,"blackburn-rovers",2010
"Pascal Chimbonda",364,6,3,3,0,0,1,0,0,"blackburn-rovers",2010
"Keith Andrews",227,5,2,3,1,0,0,0,0,"blackburn-rovers",2010
"Vince Grella",310,5,4,1,4,0,2,0,0,"blackburn-rovers",2010
"Herold Goulon",58,4,1,3,1,0,0,0,0,"blackburn-rovers",2010
"Josh Morris",81,4,0,4,0,0,0,0,0,"blackburn-rovers",2010
"Ruben Rochina",117,4,1,3,1,0,1,0,0,"blackburn-rovers",2010
"Mark Bunn",225,3,2,1,0,0,1,0,0,"blackburn-rovers",2010
"Amine Linganzi",38,1,0,1,0,0,0,0,0,"blackburn-rovers",2010
"Jason Lowe",66,1,0,1,0,0,0,0,0,"blackburn-rovers",2010
"Aaron Doran",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2010
"Frank Fielding",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2010
"Mauro Formica",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2010
"Lars Jacobsen",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2010
"Alan Judge",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2010
"Robbie Cotton",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2010
"Mauro Formica",2169,34,25,9,14,4,3,0,0,"blackburn-rovers",2011
"Junior Hoilett",2954,34,34,0,5,7,5,0,0,"blackburn-rovers",2011
"Paul Robinson",3060,34,34,0,0,0,0,0,0,"blackburn-rovers",2011
"Morten Pedersen",2836,33,33,0,6,3,6,0,0,"blackburn-rovers",2011
"Jason Lowe",2670,32,30,2,2,0,10,0,0,"blackburn-rovers",2011
"Steven Nzonzi",2810,32,31,1,0,2,7,0,0,"blackburn-rovers",2011
"Yakubu Ayegbeni",2450,30,29,1,10,17,1,0,1,"blackburn-rovers",2011
"Scott Dann",2403,27,27,0,1,1,2,0,0,"blackburn-rovers",2011
"Martin Olsson",2181,27,23,4,1,0,3,1,0,"blackburn-rovers",2011
"David Dunn",1609,26,21,5,14,2,3,1,0,"blackburn-rovers",2011
"Grant Hanley",1826,23,19,4,1,1,6,0,0,"blackburn-rovers",2011
"Gael Givet",1748,22,21,1,3,0,2,0,1,"blackburn-rovers",2011
"David Goodwillie",598,20,4,16,2,2,0,0,0,"blackburn-rovers",2011
"Radosav Petrovic",983,19,10,9,5,0,4,0,0,"blackburn-rovers",2011
"Ruben Rochina",819,18,9,9,8,2,2,0,0,"blackburn-rovers",2011
"Christopher Samba",1350,16,16,0,2,2,2,0,0,"blackburn-rovers",2011
"Marcus Olsson",991,12,10,2,0,0,0,0,0,"blackburn-rovers",2011
"Bradley Orr",955,12,10,2,1,0,2,0,0,"blackburn-rovers",2011
"Jason Roberts",466,10,5,5,4,0,2,0,0,"blackburn-rovers",2011
"Michel Salgado",655,9,9,0,3,0,4,0,0,"blackburn-rovers",2011
"Anthony Modeste",386,9,3,6,0,0,1,0,1,"blackburn-rovers",2011
"Adam Henley",472,7,4,3,1,0,0,0,0,"blackburn-rovers",2011
"Simon Vukcevic",377,7,4,3,3,1,0,0,0,"blackburn-rovers",2011
"Mark Bunn",270,3,3,0,0,0,0,0,0,"blackburn-rovers",2011
"Brett Emerton",136,2,2,0,1,0,1,0,0,"blackburn-rovers",2011
"Josh Morris",80,2,0,2,0,0,0,0,0,"blackburn-rovers",2011
"Nick Blackman",6,1,0,1,0,0,0,0,0,"blackburn-rovers",2011
"Vince Grella",11,1,0,1,0,0,0,0,0,"blackburn-rovers",2011
"Jake Kean",90,1,1,0,0,0,0,0,0,"blackburn-rovers",2011
"Ryan Nelsen",90,1,1,0,0,0,0,0,0,"blackburn-rovers",2011
"Jordan Slew",1,1,0,1,0,0,0,0,0,"blackburn-rovers",2011
"Myles Anderson",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2011
"Bruno Ribeiro",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2011
"Amine Linganzi",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2011
"Sebastian Usai",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2011
"Robbie Cotton",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2011
"Herold Goulon",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2011
"Jamie Maclaren",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2011
"Tim Payne",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2011
"Paul Robinson",3085,35,35,0,1,0,1,0,0,"blackburn-rovers",2009
"Gael Givet",2800,34,33,1,5,2,3,0,0,"blackburn-rovers",2009
"Steven Nzonzi",2866,33,33,0,5,2,6,0,0,"blackburn-rovers",2009
"Morten Pedersen",2422,33,27,6,6,3,5,0,0,"blackburn-rovers",2009
"Keith Andrews",2118,32,22,10,5,1,4,0,0,"blackburn-rovers",2009
"Christopher Samba",2596,30,30,0,3,4,4,1,0,"blackburn-rovers",2009
"Jason Roberts",1553,29,15,14,9,5,1,0,0,"blackburn-rovers",2009
"Ryan Nelsen",2272,28,25,3,2,4,3,0,0,"blackburn-rovers",2009
"El-Hadji Diouf",1943,26,24,2,13,3,3,0,0,"blackburn-rovers",2009
"Nikola Kalinic",1448,26,14,12,7,2,2,0,0,"blackburn-rovers",2009
"Pascal Chimbonda",1974,24,22,2,3,1,3,0,0,"blackburn-rovers",2009
"Brett Emerton",1424,24,17,7,7,0,2,0,0,"blackburn-rovers",2009
"David Dunn",1714,23,20,3,9,9,7,0,0,"blackburn-rovers",2009
"Junior Hoilett",944,23,8,15,5,0,0,0,0,"blackburn-rovers",2009
"Franco Di Santo",1159,22,15,7,12,1,3,0,0,"blackburn-rovers",2009
"Michel Salgado",1434,21,16,5,4,0,4,0,0,"blackburn-rovers",2009
"Martin Olsson",1719,21,19,2,3,0,1,0,0,"blackburn-rovers",2009
"Vince Grella",953,15,10,5,2,0,1,1,0,"blackburn-rovers",2009
"Benni McCarthy",711,14,7,7,4,1,2,0,0,"blackburn-rovers",2009
"Lars Jacobsen",1033,13,11,2,2,0,0,0,0,"blackburn-rovers",2009
"Phil Jones",662,9,7,2,0,0,0,0,0,"blackburn-rovers",2009
"Jason Brown",335,4,3,1,0,0,0,0,0,"blackburn-rovers",2009
"Steven Reid",124,4,1,3,1,0,1,0,0,"blackburn-rovers",2009
"Yildiray Basturk",46,1,1,0,1,0,0,0,0,"blackburn-rovers",2009
"Paul Gallagher",15,1,0,1,0,0,1,0,0,"blackburn-rovers",2009
"Grant Hanley",90,1,1,0,0,0,0,0,0,"blackburn-rovers",2009
"Amine Linganzi",46,1,1,0,1,0,0,0,0,"blackburn-rovers",2009
"Stephen Warnock",90,1,1,0,0,0,1,0,0,"blackburn-rovers",2009
"Mark Bunn",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2009
"Aaron Doran",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2009
"Maceo Rigters",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2009
"Stephen Warnock",3273,37,37,0,2,3,8,0,0,"blackburn-rovers",2008
"Ryan Nelsen",3103,35,35,0,2,1,7,0,0,"blackburn-rovers",2008
"Paul Robinson",3106,35,35,0,1,0,0,0,0,"blackburn-rovers",2008
"Christopher Samba",3047,35,35,0,3,2,4,0,0,"blackburn-rovers",2008
"Keith Andrews",2385,33,27,6,6,4,6,0,0,"blackburn-rovers",2008
"Morten Pedersen",2552,33,32,1,15,1,2,1,0,"blackburn-rovers",2008
"Andre Ooijer",2675,32,30,2,2,2,8,0,0,"blackburn-rovers",2008
"Tugay Kerimoglu",1531,28,15,13,10,1,3,0,0,"blackburn-rovers",2008
"Benni McCarthy",1523,28,18,10,12,10,4,1,0,"blackburn-rovers",2008
"Jason Roberts",1730,26,20,6,9,7,4,0,1,"blackburn-rovers",2008
"Brett Emerton",1678,20,19,1,4,1,4,0,0,"blackburn-rovers",2008
"Roque Santa Cruz",1487,20,17,3,4,4,0,0,0,"blackburn-rovers",2008
"Aaron Mokoena",864,18,9,9,3,0,3,0,0,"blackburn-rovers",2008
"Matt Derbyshire",690,17,5,12,3,2,1,0,0,"blackburn-rovers",2008
"Vince Grella",1226,17,15,2,7,0,5,0,0,"blackburn-rovers",2008
"David Dunn",758,15,7,8,7,1,0,0,0,"blackburn-rovers",2008
"El-Hadji Diouf",1199,14,13,1,3,1,3,0,0,"blackburn-rovers",2008
"Gael Givet",1113,14,14,0,3,0,2,0,0,"blackburn-rovers",2008
"Carlos Villanueva",646,13,6,7,2,0,1,0,0,"blackburn-rovers",2008
"Danny Simpson",890,12,10,2,2,0,2,0,0,"blackburn-rovers",2008
"Keith Treacy",296,12,2,10,1,0,0,0,0,"blackburn-rovers",2008
"Martin Olsson",502,9,6,3,2,0,1,1,0,"blackburn-rovers",2008
"Zurab Khizanishvili",303,5,3,2,1,0,4,0,0,"blackburn-rovers",2008
"Jason Brown",315,4,3,1,0,0,0,0,0,"blackburn-rovers",2008
"Steven Reid",360,4,4,0,0,0,0,0,0,"blackburn-rovers",2008
"Aaron Doran",117,3,0,3,0,0,1,0,0,"blackburn-rovers",2008
"Robbie Fowler",115,3,1,2,1,0,0,0,0,"blackburn-rovers",2008
"Johann Vogel",6,1,0,1,0,0,0,0,0,"blackburn-rovers",2008
"Mark Bunn",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2008
"Gavin Gunning",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2008
"Andy Haworth",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2008
"Bryan Hodge",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2008
"Marcus Marshall",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2008
"Brad Friedel",3420,38,38,0,0,0,0,0,0,"blackburn-rovers",2007
"David Bentley",3321,37,37,0,1,6,8,0,0,"blackburn-rovers",2007
"Morten Pedersen",2875,37,32,5,9,4,5,0,0,"blackburn-rovers",2007
"Roque Santa Cruz",3190,37,36,1,10,19,3,0,0,"blackburn-rovers",2007
"Stephen Warnock",3285,37,37,0,2,1,7,0,0,"blackburn-rovers",2007
"Brett Emerton",2754,33,31,2,2,1,2,1,0,"blackburn-rovers",2007
"Christopher Samba",2892,33,33,0,2,2,10,0,1,"blackburn-rovers",2007
"David Dunn",1958,31,25,6,18,1,7,1,0,"blackburn-rovers",2007
"Benni McCarthy",1688,31,21,10,16,8,1,0,0,"blackburn-rovers",2007
"Andre Ooijer",2027,27,23,4,4,0,2,0,0,"blackburn-rovers",2007
"Jason Roberts",1255,26,11,15,4,3,2,0,0,"blackburn-rovers",2007
"Steven Reid",1864,24,20,4,1,0,6,0,0,"blackburn-rovers",2007
"Matt Derbyshire",609,23,4,19,5,3,0,0,0,"blackburn-rovers",2007
"Ryan Nelsen",1935,22,22,0,0,0,3,1,1,"blackburn-rovers",2007
"Tugay Kerimoglu",1122,20,12,8,7,2,4,1,0,"blackburn-rovers",2007
"Aaron Mokoena",763,18,8,10,4,0,2,0,0,"blackburn-rovers",2007
"Zurab Khizanishvili",954,13,10,3,1,0,2,0,0,"blackburn-rovers",2007
"Robbie Savage",808,12,10,2,3,0,4,0,0,"blackburn-rovers",2007
"Johann Vogel",468,6,6,0,4,0,0,0,0,"blackburn-rovers",2007
"Bruno Berner",180,2,2,0,0,0,1,0,0,"blackburn-rovers",2007
"Martin Olsson",17,2,0,2,0,0,0,0,0,"blackburn-rovers",2007
"Maceo Rigters",14,2,0,2,0,0,0,0,0,"blackburn-rovers",2007
"Jason Brown",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2007
"Stephane Henchoz",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2007
"Tony Kane",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2007
"Eddie Nolan",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2007
"Sergio Peter",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2007
"Keith Treacy",0,0,0,0,0,0,0,0,0,"blackburn-rovers",2007
"Roger Johnson",3420,38,38,0,0,0,8,0,0,"birmingham-city",2009
"Barry Ferguson",3329,37,37,0,1,0,8,1,0,"birmingham-city",2009
"Joe Hart",3240,36,36,0,0,0,3,0,0,"birmingham-city",2009
"James McFadden",2650,36,32,4,16,5,5,0,0,"birmingham-city",2009
"Lee Bowyer",3011,35,34,1,3,5,8,0,0,"birmingham-city",2009
"Stephen Carr",3111,35,35,0,2,0,10,0,0,"birmingham-city",2009
"Keith Fahey",1697,34,18,16,7,0,2,0,0,"birmingham-city",2009
"Sebastian Larsson",2381,33,26,7,11,4,3,0,0,"birmingham-city",2009
"Cameron Jerome",2681,32,32,0,12,10,5,0,0,"birmingham-city",2009
"Liam Ridgewell",2745,31,30,1,0,3,4,0,0,"birmingham-city",2009
"Christian Benitez",1934,30,21,9,9,3,1,0,0,"birmingham-city",2009
"Scott Dann",2700,30,30,0,0,0,4,0,0,"birmingham-city",2009
"Kevin Phillips",418,19,2,17,1,4,0,0,0,"birmingham-city",2009
"Craig Gardner",898,13,10,3,3,1,3,0,0,"birmingham-city",2009
"Garry O Connor",555,10,5,5,2,1,2,0,0,"birmingham-city",2009
"Michel",305,9,3,6,3,0,1,0,0,"birmingham-city",2009
"Stuart Parnaby",546,8,6,2,2,0,2,0,0,"birmingham-city",2009
"Gregory Vignal",502,8,6,2,3,0,3,0,0,"birmingham-city",2009
"Lee Carsley",351,7,3,4,4,0,1,0,0,"birmingham-city",2009
"Franck Queudrue",496,6,6,0,1,0,0,0,0,"birmingham-city",2009
"Teemu Tainio",361,6,5,1,3,0,0,0,0,"birmingham-city",2009
"Gary McSheffrey",101,5,1,4,1,0,1,0,0,"birmingham-city",2009
"Maik Taylor",180,2,2,0,0,0,0,0,0,"birmingham-city",2009
"Damien Johnson",2,1,0,1,0,0,0,0,0,"birmingham-city",2009
"Jay OShea",9,1,0,1,0,0,0,0,0,"birmingham-city",2009
"Colin Doyle",0,0,0,0,0,0,0,0,0,"birmingham-city",2009
"Jake Jervis",0,0,0,0,0,0,0,0,0,"birmingham-city",2009
"David Murphy",0,0,0,0,0,0,0,0,0,"birmingham-city",2009
"Jordon Mutch",0,0,0,0,0,0,0,0,0,"birmingham-city",2009
"Dan Preston",0,0,0,0,0,0,0,0,0,"birmingham-city",2009
"Ashley Sammons",0,0,0,0,0,0,0,0,0,"birmingham-city",2009
"Robin Shroot",0,0,0,0,0,0,0,0,0,"birmingham-city",2009
"Stephen Carr",3376,38,38,0,2,0,4,0,0,"birmingham-city",2010
"Ben Foster",3370,38,38,0,1,0,3,0,0,"birmingham-city",2010
"Roger Johnson",3376,38,38,0,1,2,5,0,0,"birmingham-city",2010
"Liam Ridgewell",3175,36,36,0,1,4,6,0,1,"birmingham-city",2010
"Barry Ferguson",3150,35,35,0,0,0,1,0,0,"birmingham-city",2010
"Sebastian Larsson",2834,35,31,4,5,4,5,0,0,"birmingham-city",2010
"Cameron Jerome",2655,34,30,4,12,3,2,0,0,"birmingham-city",2010
"Lee Bowyer",2046,29,24,5,9,4,7,0,0,"birmingham-city",2010
